Callers,10,Capacity,1
,FCFS 1,,,CF1,,,Greed1
chance,max,total,average,max,total,average,max,total,average
5,2424.0,18177.0,1817.7,2424.0,18093.0,1809.3,2398.0,18040.0,1804.0,
10,2688.0,20939.0,2093.9,2617.0,20296.0,2029.6,2617.0,20296.0,2029.6,
15,3010.0,22392.0,2239.2,2935.0,22064.0,2206.4,2939.0,22072.0,2207.2,
20,2390.0,19190.0,1919.0,2248.0,18956.0,1895.6,2240.0,18925.0,1892.5,
25,2902.0,20645.0,2064.5,2676.0,20327.0,2032.7,2764.0,20459.0,2045.9,
30,2560.0,19626.0,1962.6,2378.0,19172.0,1917.2,2435.0,19400.0,1940.0,
35,2587.0,21026.0,2102.6,2468.0,20729.0,2072.9,2470.0,20737.0,2073.7,
40,3115.0,20698.0,2069.8,3040.0,20623.0,2062.3,3040.0,20623.0,2062.3,
45,2201.0,18753.0,1875.3,2201.0,18638.0,1863.8,2201.0,18638.0,1863.8,
50,2448.0,19190.0,1919.0,2448.0,19069.0,1906.9,2448.0,19069.0,1906.9,
55,2813.0,21789.0,2178.9,2813.0,21621.0,2162.1,2813.0,21549.0,2154.9,
60,2696.0,21107.0,2110.7,2589.0,20758.0,2075.8,2589.0,20758.0,2075.8,
65,2517.0,19580.0,1958.0,2428.0,19317.0,1931.7,2428.0,19317.0,1931.7,
70,2580.0,19413.0,1941.3,2455.0,19143.0,1914.3,2455.0,19143.0,1914.3,
75,2810.0,22105.0,2210.5,2783.0,21798.0,2179.8,2810.0,21879.0,2187.9,
80,2495.0,19848.0,1984.8,2495.0,19584.0,1958.4,2495.0,19584.0,1958.4,
85,2669.0,19994.0,1999.4,2620.0,19707.0,1970.7,2620.0,19707.0,1970.7,
90,2368.0,19244.0,1924.4,2368.0,18433.0,1843.3,2368.0,18433.0,1843.3,
95,2511.0,18278.0,1827.8,2383.0,18073.0,1807.3,2383.0,18073.0,1807.3,


Callers,100,Capacity,1
,FCFS 1,,,CF1,,,Greed1
chance,max,total,average,max,total,average,max,total,average
5,13082.0,740402.0,7404.02,11480.0,705082.0,7050.82,12108.0,724496.0,7244.96,
10,13167.0,705031.0,7050.31,10235.0,654451.0,6544.51,11513.0,681006.0,6810.06,
15,14543.0,803261.0,8032.61,12230.0,752372.0,7523.72,13237.0,779575.0,7795.75,
20,14600.0,851923.0,8519.23,12330.0,798733.0,7987.33,13114.0,822562.0,8225.62,
25,16067.0,851156.0,8511.56,13003.0,800389.0,8003.89,14169.0,823096.0,8230.96,
30,16099.0,892711.0,8927.11,13783.0,842012.0,8420.12,14253.0,855470.0,8554.7,
35,16805.0,933089.0,9330.89,15019.0,892576.0,8925.76,15391.0,898998.0,8989.98,
40,16059.0,857332.0,8573.32,13763.0,816815.0,8168.15,14199.0,824197.0,8241.97,
45,16028.0,852475.0,8524.75,14085.0,817590.0,8175.9,14277.0,820731.0,8207.31,
50,15781.0,838801.0,8388.01,13843.0,796918.0,7969.18,14131.0,802606.0,8026.06,
55,15198.0,836933.0,8369.33,13366.0,786112.0,7861.12,13874.0,795830.0,7958.3,
60,14669.0,811860.0,8118.6,12712.0,762844.0,7628.44,12712.0,769533.0,7695.33,
65,17399.0,901793.0,9017.93,14841.0,857280.0,8572.8,15129.0,863215.0,8632.15,
70,15202.0,864593.0,8645.93,13636.0,819211.0,8192.11,13832.0,823862.0,8238.62,
75,15779.0,862710.0,8627.1,14145.0,830703.0,8307.03,14363.0,837473.0,8374.73,
80,16690.0,895614.0,8956.14,14791.0,858474.0,8584.74,14788.0,858370.0,8583.7,
85,16218.0,862253.0,8622.53,13816.0,812554.0,8125.54,13840.0,813466.0,8134.66,
90,14982.0,796066.0,7960.66,13045.0,753352.0,7533.52,13171.0,757940.0,7579.4,
95,14473.0,802765.0,8027.65,12592.0,757835.0,7578.35,12745.0,763595.0,7635.95,


Callers,1000,Capacity,1
,FCFS 1,,,CF1,,,Greed1
chance,max,total,average,max,total,average,max,total,average
5,101555.0,5.2189592E7,52189.592,76469.0,4.4136571E7,44136.571,90657.0,5.0619854E7,50619.854,
10,127122.0,6.3744349E7,63744.349,93797.0,5.6254786E7,56254.786,109012.0,6.1299898E7,61299.898,
15,137221.0,6.9495155E7,69495.155,104170.0,6.2529415E7,62529.415,118245.0,6.6752577E7,66752.577,
20,140844.0,7.1514175E7,71514.175,105019.0,6.3774561E7,63774.561,119326.0,6.7816469E7,67816.469,
25,141226.0,7.0263113E7,70263.113,106458.0,6.3451947E7,63451.947,119707.0,6.6830535E7,66830.535,
30,142808.0,7.1393471E7,71393.471,107591.0,6.4799963E7,64799.963,120933.0,6.7885541E7,67885.541,
35,144705.0,7.2221882E7,72221.882,111161.0,6.5626385E7,65626.385,122330.0,6.8467937E7,68467.937,
40,142731.0,7.2726809E7,72726.809,112395.0,6.6268184E7,66268.184,122349.0,6.8833884E7,68833.884,
45,143157.0,7.2588093E7,72588.093,110704.0,6.5815971E7,65815.971,120216.0,6.8341574E7,68341.574,
50,143011.0,7.3858707E7,73858.707,111413.0,6.697061E7,66970.61,120313.0,6.9551698E7,69551.698,
55,142120.0,7.2365011E7,72365.011,110172.0,6.5621804E7,65621.804,118790.0,6.8290266E7,68290.266,
60,147193.0,7.395874E7,73958.74,114965.0,6.7671705E7,67671.705,123131.0,6.9685078E7,69685.078,
65,144423.0,7.3694833E7,73694.833,111601.0,6.681122E7,66811.22,120928.0,6.9248808E7,69248.808,
70,144551.0,7.3894456E7,73894.456,115082.0,6.7280581E7,67280.581,122783.0,6.933692E7,69336.92,
75,144468.0,7.145623E7,71456.23,114092.0,6.5554871E7,65554.871,121316.0,6.7128147E7,67128.147,
80,151718.0,7.6171141E7,76171.141,120211.0,6.9626523E7,69626.523,127257.0,7.1312742E7,71312.742,
85,145527.0,7.3395208E7,73395.208,114364.0,6.6785014E7,66785.014,120334.0,6.8541424E7,68541.424,
90,143666.0,7.4165524E7,74165.524,115804.0,6.7584246E7,67584.246,120170.0,6.9296056E7,69296.056,
95,150298.0,7.5355923E7,75355.923,116523.0,6.86339E7,68633.9,124697.0,7.0561711E7,70561.711,


Callers,10,Capacity,5
,FCFS 5,,,CF5,,,Greed5
chance,max,total,average,max,total,average,max,total,average
5,1821.0,16228.0,1622.8,1788.0,15586.0,1558.6,1821.0,15896.0,1589.6,
10,2101.0,17057.0,1705.7,2008.0,16453.0,1645.3,2028.0,16503.0,1650.3,
15,2210.0,18628.0,1862.8,2029.0,17390.0,1739.0,2024.0,17343.0,1734.3,
20,2222.0,18919.0,1891.9,2063.0,17588.0,1758.8,1999.0,17245.0,1724.5,
25,2201.0,16786.0,1678.6,1927.0,16046.0,1604.6,1927.0,16046.0,1604.6,
30,2080.0,18465.0,1846.5,2002.0,16986.0,1698.6,2014.0,17034.0,1703.4,
35,2321.0,18315.0,1831.5,2047.0,17118.0,1711.8,2051.0,17132.0,1713.2,
40,2297.0,19450.0,1945.0,2035.0,17738.0,1773.8,2047.0,17834.0,1783.4,
45,2244.0,19415.0,1941.5,2009.0,17746.0,1774.6,1979.0,17516.0,1751.6,
50,2394.0,18639.0,1863.9,2117.0,17618.0,1761.8,2102.0,17563.0,1756.3,
